,latitude,longtiude
0,-151.993,60.6067
1,-152.9527,59.7842
2,-65.954,18.607
3,-175.9863,-27.0828
4,-153.4994,60.1192
5,70.2627,36.5403
6,-65.0544,19.0007
7,-154.4143,56.1811
8,115.6793,-6.5417
9,145.5587,19.2536
10,-97.5118,36.2756
11,179.6155,-32.7213
12,102.4137,-5.8539
13,177.8298,-38.0705
14,-77.2242,-11.6951
15,-151.8294,61.6498
16,-151.4579,59.9179
17,-97.5188,36.2829
18,-101.0951,17.4387
19,104.8492,28.1597
20,141.0627,12.0967
21,-174.1852,-17.1024
22,-8.8901,39.5967
23,147.2099,-5.5445
24,126.3524,0.1901
25,-123.0608333,48.5996667
26,-156.4878333,20.0668333
27,146.8947,-6.1796
28,-137.6339,58.7637
29,129.9362,28.3694
30,131.2943,-0.8641
31,122.2922,-6.3855
32,162.008,-11.01
33,152.8963,48.4115
34,-175.9358,-19.5385
35,139.1965,-35.0569
36,-155.2753296,19.3886662
37,-152.819,59.2686
38,-76.503,-11.1797
39,-73.735,-37.2739
40,-157.9036,57.1316
41,-70.3289,-15.6095
42,173.8553,-42.3632
43,83.3452,30.7099
44,-157.7936,57.091
45,-156.5042,20.059
46,-152.2601,61.4125
47,-118.8927,38.3409
48,-156.5976715,19.7080002
49,-155.2798333,19.3871667
50,-153.5589,57.7986
51,-64.6315,19.2115
52,-72.9513,6.7983
53,-76.9274,-3.3199
54,127.415,27.3686
55,-66.7898,18.5914
56,-74.3973,-43.576
57,-66.5361,18.9085
58,-98.9706,36.5345
59,156.2728,51.143
60,-150.4945,64.7155
61,142.3557,38.2809
62,71.4622,37.2488
63,125.4143,-7.0042
64,-79.6769,0.7003
65,-69.5326,-29.4632
66,127.092,25.1615
67,45.8091,-40.1907
68,-97.9624,38.0202
69,-150.9494,63.0733
70,-178.6514,-17.8487
71,-67.31,18.9759
72,-64.4298,18.6741
73,-115.4661667,32.4051667
74,-121.3531667,36.7593333
75,-150.7144,59.8939
76,-118.1895,35.123
77,-65.8797,17.929
78,-127.814,49.957
79,-152.5393,61.6657
80,-152.0986,61.9101
81,-36.5463,34.6316
82,-147.7576,61.7308
83,167.122,-14.7543
84,-64.4125,18.8812
85,-68.1585,18.0802
86,-116.1506667,33.7913333
87,-66.9767,18.1821
88,94.1802,5.0823
89,-97.7663,36.0736
90,65.5125,-27.4728
91,-65.879,17.9085
92,-107.5354,39.5264
93,124.669,-48.8629
