,latitude,longtiude
94,-97.7242,36.7669
95,-83.6656,-42.7255
96,-86.4049,10.8049
97,-115.6675,31.5216667
98,-65.1408,19.4101
99,166.4393,-11.7944
100,168.679,-44.1394
101,-36.5996,34.5878
102,98.9726,-1.7996
103,-153.7809,60.2616
104,-72.8441,-14.492
105,-96.7335,35.8781
106,-123.0711667,48.6111667
107,-65.019,18.0858
108,-89.7811667,37.1805
109,-97.9786,36.7552
110,151.7385,-5.4828
111,-97.4495,36.8684
112,-97.4428,36.8657
113,-79.531,-2.7691
114,126.045,9.8989
115,-123.0718333,48.611
116,152.5599,47.6023
117,-149.2039,66.1366
118,145.4798,19.2377
119,-98.4093,36.6838
120,-150.4009,63.23
121,-64.8793,-58.0391
122,61.2435,-29.2007
123,-68.6799,-30.3982
124,-177.4845,-30.1008
125,145.1491,12.691
126,22.0194,36.2963
127,112.9477,-9.3734
128,-115.6891667,31.5765
129,65.9699,26.7424
130,126.7673,2.2662
131,135.2792,-50.3565
132,-156.4238,56.5954
133,-115.1903333,32.1738333
134,-151.0699,62.5236
135,-122.7888333,38.8048333
136,-68.8786,19.7572
137,-151.5358,60.0953
138,122.4943,-7.7759
139,-68.4038,19.4375
140,-179.7355,-23.4804
141,153.1227,-4.6316
142,-172.972,-15.3152
143,-147.2581,63.5285
144,-123.428,40.9748333
145,-152.6024,59.1132
146,142.3,40.274
147,-17.969,68.2758
148,-65.7925,18.9083
149,-116.8005,34.0386667
150,-76.9961,6.6344
151,140.7253,39.7684
152,-70.82,-26.5954
153,-151.0202,61.2731
154,74.5351,39.1137
155,-67.2711,18.1326
156,-76.3387,-14.4125
157,-96.9386,36.4331
158,-65.0814,18.9384
159,112.9433,-9.813
160,151.9451,-5.5768
161,-67.9907,17.9428
162,-154.7904,57.3622
163,-68.1457,19.0375
164,-78.8847,-9.3088
165,-66.556,19.0893
166,154.8071,-6.035
167,128.9213,-2.8027
168,151.8145,-5.6483
169,-97.2757,36.1651
170,130.6803,-5.889
171,154.8131,-5.9155
172,-136.2537,58.866
173,-70.0311,-19.9674
174,-91.8258,13.7302
175,56.2697,29.2466
176,-157.9944,55.7262
177,-98.0976,36.333
178,-153.5136,59.8269
179,-68.6104,18.5421
180,-73.7834,-15.9523
181,28.7421,36.0032
182,-172.4758,-18.2187
183,-68.6675,18.496
184,-30.3847,59.5578
185,-30.2773,59.5497
186,-122.7695,38.7808333
187,-122.7561667,38.7935
188,104.7924,28.2176
189,-153.5561,60.068
190,-65.3602,18.0326
191,19.8672,40.8361
192,38.6457,7.712
193,-164.5012,52.7834
194,-66.0295,19.1263
195,178.5443,51.7437
196,-64.1966,19.8192
197,-148.9568,60.5681
198,-178.6028,-23.2114
199,-68.514,-22.4783
200,-157.7216,57.0372
201,-66.0248,19.1315
202,-175.8143,51.5601
203,-152.0396,59.5077
204,125.9757,1.0768
205,-66.0428,19.1235
206,-97.6556,36.8998
207,-148.8556,62.8011
208,179.5681,51.062
209,-155.6121667,19.4283333
210,-66.8243,19.1795
211,71.3215,36.4553
212,-71.5268,-31.0045
213,-68.6539,18.0042
214,-125.6025,40.3326667
215,-150.441,64.6684
216,-118.5078333,34.391
217,-65.3895,17.8139
218,-136.4059,59.1048
219,-165.2543,53.8657
220,-69.0782,-20.3204
221,129.2631,-7.4088
222,-67.5759,19.4358
223,-64.431,18.4389
