,ID,SFTAZ,MODE,TOD2,YEAR,DIST,DISTNAME,AVG_RIDE,ROUTES,STOPS,TRIP_STOPS,TRIP_STOPS_DELIVERED,RAPID_SHARE,SERVMILES_S_DELIVERED,RUNSPEED,ONTIME5,BUS_TRIP_STOPS_COMPETING,HHLDS,POP,TOTALEMP,EMPRES,ACCESS_30,HHLDS_0_VEH_SHARE,BART_AVG_RIDE,CALTRAIN_AVG_RIDE,AVG_TNC,HHLDS_SMOOTH,POP_SMOOTH,TOTALEMP_SMOOTH,EMPRES_SMOOTH,HHLDS_0_VEH_SHARE_SMOOTH,BART_AVG_RIDE_SMOOTH,CALTRAIN_AVG_RIDE_SMOOTH,AVG_TNC_SMOOTH
133,9_BUS_1600-1859,9,BUS,1600-1859,2015,10,'Outer Mission',56.01545893,3,1,43,42.828,0,6.595512,12.91,0.596078919,18.98234424,371,1470,215,694,135914,0.146969697,0,0,11.15,112.1264767,442.4184491,181.1064981,207.2778484,0.144951962,0,0,3.098355342
135,9_BUS_1900-0259,9,BUS,1900-0259,2015,10,'Outer Mission',36.52317434,1,1,44,43.824,0,6.748896,16.36,0.494541462,17.66328213,371,1470,215,694,151722,0.146969697,0,0,25.575,112.1264767,442.4184491,181.1064981,207.2778484,0.144951962,0,0,7.318447759
145,10_BUS_0300-0859,10,BUS,0300-0859,2015,10,'Outer Mission',25.82715406,2,7,82,81.672,0,9.08352,12.08,0.546927587,15.37456589,402,1516,95,628,190539,0.107574094,0,0,11.27,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,2.485627366
147,10_BUS_0900-1559,10,BUS,0900-1559,2015,10,'Outer Mission',47.8910915,2,7,134,133.464,0,19.075392,12.82,0.531551663,26.85686171,402,1516,95,628,148002,0.107574094,0,0,22.51,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,4.78148499
149,10_BUS_1600-1859,10,BUS,1600-1859,2015,10,'Outer Mission',23.10490691,1,6,54,53.784,0,8.175168,11.23,0.572573224,11.24780406,402,1516,95,628,147822,0.107574094,0,0,14.775,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,3.512507258
151,10_BUS_1900-0259,10,BUS,1900-0259,2015,10,'Outer Mission',16.90634125,1,6,72,71.712,0,10.900224,15.51,0.71437645,14.73511241,402,1516,95,628,159869,0.107574094,0,0,46.69,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,10.24291418
153,10_RAIL_0300-0859,10,RAIL,0300-0859,2015,10,'Outer Mission',138.9588607,1,2,40,40,0,7.02,9.98,0,15.37456589,402,1516,95,628,157649,0.107574094,0,0,11.27,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,2.485627366
155,10_RAIL_0900-1559,10,RAIL,0900-1559,2015,10,'Outer Mission',306.9683543,1,2,86,86,0,15.093,9.03,0,26.85686171,402,1516,95,628,128646,0.107574094,0,0,22.51,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,4.78148499
157,10_RAIL_1600-1859,10,RAIL,1600-1859,2015,10,'Outer Mission',96.835443,1,2,40,40,0,7.02,8.81,0,11.24780406,402,1516,95,628,131517,0.107574094,0,0,14.775,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,3.512507258
159,10_RAIL_1900-0259,10,RAIL,1900-0259,2015,10,'Outer Mission',55.19620251,1,2,52,52,0,9.126,9.98,0,14.73511241,402,1516,95,628,120199,0.107574094,0,0,46.69,110.7990455,416.9349724,24.79463949,173.6755732,0.108626251,0,0,10.24291418
