,ID,SFTAZ,MODE,TOD2,YEAR,DIST,DISTNAME,AVG_RIDE,ROUTES,STOPS,TRIP_STOPS,TRIP_STOPS_DELIVERED,RAPID_SHARE,SERVMILES_S_DELIVERED,RUNSPEED,ONTIME5,BUS_TRIP_STOPS_COMPETING,HHLDS,POP,TOTALEMP,EMPRES,ACCESS_30,HHLDS_0_VEH_SHARE,BART_AVG_RIDE,CALTRAIN_AVG_RIDE,AVG_TNC,HHLDS_SMOOTH,POP_SMOOTH,TOTALEMP_SMOOTH,EMPRES_SMOOTH,HHLDS_0_VEH_SHARE_SMOOTH,BART_AVG_RIDE_SMOOTH,CALTRAIN_AVG_RIDE_SMOOTH,AVG_TNC_SMOOTH
0,1_BUS_0300-0859,1,BUS,0300-0859,2010,9,'Bayshore',11.5036875,2.0,3.0,36.0,34.884,0.0,3.162815999999999,12.26,0.5945297270955165,14.992544399158929,306,1303,50,506,302980.0,0.2274143302180685,0.0,0.0,0.0,71.4227117657648,297.24279992386397,12.223619995571955,115.311124500723,0.2415489545101183,0.0,0.0,0.0
1,1_BUS_0300-0859,1,BUS,0300-0859,2015,9,'Bayshore',33.24009258721077,3.0,3.0,50.0,49.8,0.8,4.5198480000000005,5.47,0.4489806594920232,18.880575112866854,317,1353,69,546,351207.0,0.16934306569343066,0.0,0.0,3.395,74.88290478063661,311.9167678471556,17.40827601242415,125.62969200649613,0.19780640773059815,0.0,0.0,0.6591057226633877
2,1_BUS_0900-1559,1,BUS,0900-1559,2010,9,'Bayshore',50.245435267857154,2.0,3.0,84.0,81.39599999999999,0.0,7.366337999999999,12.81,0.5721052279342536,31.462385590100194,306,1303,50,506,219577.0,0.2274143302180685,0.0,0.0,0.0,71.4227117657648,297.24279992386397,12.223619995571955,115.311124500723,0.2415489545101183,0.0,0.0,0.0
3,1_BUS_0900-1559,1,BUS,0900-1559,2015,9,'Bayshore',56.48301837608234,2.0,3.0,119.0,118.524,0.8907563025210085,10.74684,5.76,0.5058893137169586,41.739716262260025,317,1353,69,546,189411.0,0.16934306569343066,0.0,0.0,3.725,74.88290478063661,311.9167678471556,17.40827601242415,125.62969200649613,0.19780640773059815,0.0,0.0,0.8558110208119324
4,1_BUS_1600-1859,1,BUS,1600-1859,2010,9,'Bayshore',31.44812327532464,2.0,3.0,36.0,34.884,0.0,3.157001999999999,11.63,0.4089820906432749,13.744592261150244,306,1303,50,506,124505.0,0.2274143302180685,0.0,0.0,0.0,71.4227117657648,297.24279992386397,12.223619995571955,115.311124500723,0.2415489545101183,0.0,0.0,0.0
5,1_BUS_1600-1859,1,BUS,1600-1859,2015,9,'Bayshore',36.36958145494143,2.0,3.0,50.0,49.8,0.88,4.513872,5.02,0.3671356052812487,18.080882660969976,317,1353,69,546,159697.0,0.16934306569343066,0.0,0.0,3.29,74.88290478063661,311.9167678471556,17.40827601242415,125.62969200649613,0.19780640773059815,0.0,0.0,0.6907341322636038
6,1_BUS_1900-0259,1,BUS,1900-0259,2010,9,'Bayshore',18.13572699404762,2.0,3.0,49.0,47.481,0.0,4.306236,13.45,0.4806616669224082,18.403363419017317,306,1303,50,506,212277.0,0.2274143302180685,0.0,0.0,0.0,71.4227117657648,297.24279992386397,12.223619995571955,115.311124500723,0.2415489545101183,0.0,0.0,0.0
7,1_BUS_1900-0259,1,BUS,1900-0259,2015,9,'Bayshore',18.820541732455187,3.0,3.0,51.0,50.79600000000001,0.0392156862745098,4.6074959999999985,5.01,0.5547619704447435,18.837878798011356,317,1353,69,546,194820.0,0.16934306569343066,0.0,0.0,5.139999999999999,74.88290478063661,311.9167678471556,17.40827601242415,125.62969200649613,0.19780640773059815,0.0,0.0,1.320041664302769
32,3_BUS_0300-0859,3,BUS,0300-0859,2010,9,'Bayshore',234.09876984126984,3.0,5.0,137.0,132.753,0.0,18.701699999999988,11.69,0.5764788738733638,44.069039608012304,435,1459,56,371,259003.0,0.3747346072186836,0.0,0.0,0.0,133.38512009546852,464.1875889423283,18.485323070606622,128.41899292632013,0.3594811912372085,0.0,0.0,0.0
33,3_BUS_0300-0859,3,BUS,0300-0859,2015,9,'Bayshore',234.52721359275355,3.0,5.0,156.0,155.37600000000003,0.2948717948717949,21.59527199999999,11.2,0.4672196695137323,50.90226794103117,447,1506,90,397,333132.0,0.4360041623309053,0.0,0.0,1.745,143.60274049720468,500.9101566345124,26.544408148571357,143.56909872822976,0.4073620791119901,0.0,0.0,0.6024298450414167
